,artist,title
0,Jack Harlow,First Class
1,Harry Styles,As It Was
2,Glass Animals,Heat Waves
3,Latto,Big Energy
4,Imagine Dragons X JID,Enemy
5,The Kid LAROI & Justin Bieber,Stay
6,Kodak Black,Super Gremlin
7,Doja Cat,Woman
8,Justin Bieber,Ghost
9,Lil Nas X,Thats What I Want
10,GAYLE,abcdefu
11,Ed Sheeran,Bad Habits
12,Lil Baby,Right On
13,Lil Baby,In A Minute
14,Ed Sheeran,Shivers
15,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
16,Adele,Easy On Me
17,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno
18,Lil Nas X & Jack Harlow,Industry Baby
19,Doja Cat,Need To Know
20,Dua Lipa,Levitating
21,Cody Johnson,'Til You Can't
22,The Weeknd & Ariana Grande,Save Your Tears
23,Post Malone & The Weeknd,One Right Now
24,Camila Cabello Featuring Ed Sheeran,Bam Bam
25,Muni Long,Hrs And Hrs
26,Cole Swindell / Lainey Wilson,Never Say Never
27,Olivia Rodrigo,Good 4 U
28,SZA,I Hate U
29,Becky G X Karol G,MAMIII
30,Luke Combs,Doin' This
31,Walker Hayes,AA
32,Megan Thee Stallion & Dua Lipa,Sweetest Pie
33,Lauren Spencer-Smith,Fingers Crossed
34,Gunna & Future Featuring Young Thug,Pushin P
35,Morgan Wallen,Wasted On You
36,Doja Cat & The Weeknd,You Right
37,Walker Hayes,Fancy Like
38,Lil Durk Featuring Gunna,What Happened To Virgil
39,Jack Harlow,Nail Tech
40,"Dierks Bentley, BRELAND & HARDY",Beers On Me
41,JNR CHOI & Sam Tompkins,To The Moon!
42,Charlie Puth,Light Switch
43,Dove Cameron,Boyfriend
44,Em Beihold,Numb Little Bug
45,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
46,Jordan Davis Featuring Luke Bryan,Buy Dirt
47,Morgan Wallen,Sand In My Boots
48,Tiesto & Ava Max,The Motto
49,Tate McRae,She's All I Wanna Be
50,Thomas Rhett,Slow Down Summer
51,Shawn Mendes,When You're Gone
52,Fireboy DML & Ed Sheeran,Peru
53,Russ Featuring Ktlyn,Handsomer
54,Sam Hunt,23
55,Jessica Darrow,Surface Pressure
56,Maren Morris,Circles Around This Town
57,Lil Durk Featuring Morgan Wallen,Broadway Girls
58,Summer Walker & SZA,No Love
59,Tyga X Doja Cat,Freaky Deaky
60,Lil Durk,Ahhh Ha
61,BIA Featuring J. Cole,London
62,Eric Church,Heart On Fire
63,Lil Tjay,In My Head
64,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl
65,"Nardo Wick, Lil Baby & Future",Me Or Sum
66,ERNEST Featuring Morgan Wallen,Flower Shops
67,Miranda Lambert,If I Was A Cowboy
68,Yahritza y Su Esencia,Soy El Unico
69,Nicki Minaj X Lil Baby,Do We Have A Problem?
70,"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods
71,4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U
72,Jason Aldean,Trouble With A Heartbreak
73,Anitta,Envolver
74,Camila Cabello Featuring WILLOW,Psychofreak
75,HARDY,Give Heaven Some Hell
76,Gucci Mane Featuring Lil Durk,Rumors
77,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal
78,42 Dugg & EST Gee,Thump Shit
79,Parmalee,Take My Name
80,Chloe,Treat Me
81,Doja Cat,Get Into It (Yuh)
82,Parker McCollum,To Be Loved By You
83,Blake Shelton,Come Back As A Country Boy
84,5 Seconds Of Summer,Complete Mess
85,The Walters,I Love You So
86,Gunna,Banking On Me
87,Kevin Gates Featuring Juicy J,Thinking With My Dick
88,Scotty McCreery,Damn Strait
89,Russell Dickerson & Jake Scott,She Likes It
90,Gunna Featuring Drake,P Power
91,Ari Lennox,Pressure
92,Sebastian Yatra,Dos Oruguitas
93,Imagine Dragons,Bones
94,Coi Leray & Nicki Minaj,Blick Blick!
95,Lucky Daye,Over
96,Pusha T Featuring JAY-Z & Pharrell Williams,Neck & Wrist
97,Rauw Alejandro & Chencho Corleone,Desesperados
98,Daddy Yankee & Bad Bunny,X Ultima Vez
99,BRELAND Featuring Thomas Rhett,Praise The Lord
100,Nicki Minaj,Super Freaky Girl
102,Lizzo,About Damn Time
103,Beyonce,Break My Soul
104,Kate Bush,Running Up That Hill (A Deal With God)
105,Steve Lacy,Bad Habit
106,Nicky Youre & dazy,Sunroof
107,Future Featuring Drake & Tems,Wait For U
108,Bad Bunny & Chencho Corleone,Me Porto Bonito
109,Post Malone Featuring Doja Cat,I Like You (A Happier Song)
110,Harry Styles,Late Night Talking
113,Luke Combs,The Kind Of Love We Make
114,Morgan Wallen,You Proof
115,Bad Bunny,Titi Me Pregunto
116,OneRepublic,I Ain't Worried
117,Cole Swindell,She Had Me At Heads Carolina
120,Rod Wave,Alone
121,Drake Featuring 21 Savage,Jimmy Cooks
122,DJ Khaled Featuring Drake & Lil Baby,Staying Alive
124,Doja Cat,Vegas
125,Bad Bunny,Moscow Mule
126,Joji,Glimpse Of Us
128,Kane Brown,Like I Love Country Music
130,Bailey Zimmerman,Fall In Love
131,Tyler Hubbard,5 Foot 9
134,Rod Wave Featuring Jack Harlow,Yungen
135,Jon Pardi,Last Night Lonely
137,Bad Bunny,Efecto
138,Bailey Zimmerman,Rock And A Hard Place
139,Charlie Puth Featuring Jung Kook,Left And Right
140,Drake,Sticky
141,Zach Bryan,Something In The Orange
142,Karol G,Provenza
144,Yung Gravy,Betty (Get Money)
145,Jelly Roll,Son Of A Sinner
146,Marshmello & Khalid,Numb
147,Rod Wave,Never Get Over Me
150,Rod Wave,Sweet Little Lies
152,Hitkidd & GloRilla,F.N.F. (Let's Go)
153,"Cardi B, Ye & Lil Durk",Hot Shit
154,Bad Bunny & Rauw Alejandro,Party
156,"benny blanco, BTS & Snoop Dogg",Bad Decisions
157,Rod Wave,Forever
158,Bad Bunny & Bomba Estereo,Ojitos Lindos
160,Halsey,So Good
161,Megan Thee Stallion,Her
162,SleazyWorld Go Featuring Lil Baby,Sleazy Flow
163,Jax,Victoria's Secret
164,Bad Bunny,Despues de La Playa
165,Rod Wave,Stone Rolling
166,Beyonce,Alien Superstar
167,Sia,Unstoppable
168,Tems,Free Mind
169,Ingrid Andress With Sam Hunt,Wishful Drinking
170,Rod Wave,No Deal
171,Nardo Wick,Dah Dah DahDah
172,Nate Smith,Whiskey On You
173,Rod Wave,I Know It
174,Burna Boy,Last Last
175,Bad Bunny & Jhay Cortez,Tarot
176,Justin Moore,With A Woman You Love
177,Chris Young With Mitchell Tenpenny,At The End Of A Bar
178,Mitchell Tenpenny,Truth About You
179,Megan Thee Stallion Featuring Future,Pressurelicious
180,Beyonce,Cuff It
181,Megan Thee Stallion Featuring Key Glock,Ungrateful
182,Gabby Barrett,Pick Me Up
184,Rosalia,Despecha
185,Rod Wave,Pieces
186,Megan Thee Stallion Featuring Latto,Budget
187,Carrie Underwood,Ghost Story
188,Post Malone Featuring Roddy Ricch,Cooped Up
189,Rod Wave,Rockstar Heart
190,Future,Puffin On Zootiez
191,Stephen Sanchez,Until I Found You
192,Megan Thee Stallion,Plan B
193,Morgan Wallen,Thought You Should Know
194,Rod Wave,Time Kills (Love Birds)
195,Rod Wave,Fading
196,Beyonce,Church Girl
197,Bad Bunny,Un Ratito
198,Bad Bunny & Tony Dize,La Corriente
199,Jordan Davis,What My World Spins Around
200,Taylor Swift,Anti-Hero
201,Drake & 21 Savage,Rich Flex
202,Sam Smith & Kim Petras,Unholy
204,Mariah Carey,All I Want For Christmas Is You
205,Brenda Lee,Rockin' Around The Christmas Tree
206,David Guetta & Bebe Rexha,I'm Good (Blue)
208,Bobby Helms,Jingle Bell Rock
209,Burl Ives,A Holly Jolly Christmas
210,Rihanna,Lift Me Up
211,The Weeknd,Die For You
213,Chris Brown,Under The Influence
218,Andy Williams,It's The Most Wonderful Time Of The Year
220,Lil Uzi Vert,Just Wanna Rock
221,GloRilla & Cardi B,Tomorrow 2
222,Wham!,Last Christmas
223,Meghan Trainor,Made You Look
225,Taylor Swift,Lavender Haze
229,Drake & 21 Savage,Major Distribution
230,Drake & 21 Savage,Spin Bout U
233,Nat King Cole,The Christmas Song (Merry Christmas To You)
234,JVKE,Golden Hour
236,Drake & 21 Savage,Circo Loco
238,Drake & 21 Savage,On BS
239,The Ronettes,Sleigh Ride
240,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
241,Jose Feliciano,Feliz Navidad
242,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas
245,Kane Brown With Katelyn Brown,Thank God
246,Drake & 21 Savage Featuring Travis Scott,Pussy & Millions
247,Kelly Clarkson,Underneath The Tree
249,Taylor Swift,Bejeweled
250,Elton John & Britney Spears,Hold Me Closer
251,Taylor Swift,Midnight Rain
252,HARDY Featuring Lainey Wilson,Wait In The Truck
255,Thomas Rhett Featuring Riley Green,Half Of Me
256,Quavo & Takeoff,Hotel Lobby (Unc And Phew)
257,Taylor Swift,Maroon
259,Jackson Dean,Don't Come Lookin'
261,Drake & 21 Savage,Privileged Rappers
262,SZA,Shirt
263,Lil Nas X,Star Walkin' (League Of Legends Worlds Anthem)
264,Taylor Swift,Karma
265,Drake,BackOutsideBoyz
266,Taylor Swift,"You're On Your Own, Kid"
267,Drake & 21 Savage,Broke Boys
268,Taylor Swift Featuring Lana Del Rey,Snow On The Beach
269,Drake & 21 Savage,Hours In Silence
271,d4vd,Romantic Homicide
272,Taylor Swift,Vigilante Shit
274,Armani White,Billie Eilish.
275,Rod Wave,Break My Heart
276,Drake,Jumbotron Shit Poppin
277,Taylor Swift,Question...?
278,Grupo Frontera,No Se Va
279,Lil Baby,Heyy
280,Lil Baby,California Breeze
281,Rema & Selena Gomez,Calm Down
282,Luke Bryan,Country On
283,Taylor Swift,Mastermind
284,Drake & 21 Savage,Treacherous Twins
285,Lainey Wilson,Heart Like A Truck
287,Pharrell Williams & Travis Scott,Down In Atlanta
288,Taylor Swift,Labyrinth
289,Lil Baby,Freestyle
